track_id,"('echonest', 'audio_features', 'acousticness')","('echonest', 'audio_features', 'danceability')","('echonest', 'audio_features', 'energy')","('echonest', 'audio_features', 'instrumentalness')","('echonest', 'audio_features', 'liveness')","('echonest', 'audio_features', 'speechiness')","('echonest', 'audio_features', 'tempo')","('echonest', 'audio_features', 'valence')","('track', 'genre_top')"
714,0.3654471625,0.2617475693,0.0723938509,0.8740612382,0.1313893741,0.0378087678,45.527,0.0342540436,Folk
715,0.9688864623,0.1553403861,0.2123027599,0.9454553954,0.3451333806,0.0379409424,93.523,0.0545813398,Folk
716,0.9850551899,0.1246810839,0.0263421742,0.9682346122,0.1039391422,0.0444218081,145.716,0.0337189309,Folk
718,0.9604920231,0.3342395136,0.1038395016,0.0017117108,0.1322383258,0.0340278803,19.659,0.0393351264,Folk
777,0.1286144952,0.644333109,0.4460819136,0.2665649572,0.1749126969,0.2035079652,110.101,0.2329889961,Rock
814,0.9926913948,0.2908645125,0.1011084324,0.8967505241,0.1115529286,0.0296174812,100.979,0.2022765231,Folk
821,0.4004944242,0.8625099361,0.2514695821,0.9089261368,0.3239905292,0.1136176059,105.036,0.0393987667,Pop
822,0.6743564014,0.8704490089,0.2751175212,0.8860449362,0.1043789381,0.0880396925,119.997,0.3283175456,Pop
825,0.9942135098,0.0850660337,0.9326844569,0.9718580224,0.1230686834,0.0979859594,250.059,0.0379481555,Rock
853,0.9957009005,0.2129394543,0.3495002665,0.9709433459,0.2784205049,0.0365954761,90.442,0.3273490715,International
993,0.0092722141,0.7035903369,0.6890474099,0.8078660414,0.0899693605,0.0542027079,130.527,0.1346264165,Rock
1082,0.9957686039,0.4592608447,0.0081617746,0.9157699025,0.0995986856,0.0408221292,139.061,0.341419311,International
1087,0.0709493266,0.5846425808,0.814832734,0.9237026049,0.1124871845,0.0398695264,132.949,0.9696536182,Rock
1102,0.1954238958,0.421607336,0.7028404521,0.8775190037,0.0632641788,0.20004932,78.29,0.3579773542,Rock
1193,0.97200265,0.618341117,0.2724071525,0.9302202926,0.1134020771,0.0336704145,115.291,0.3061725314,Folk
1195,0.9475473118,0.2900942789,0.0480081846,0.9540022257,0.1109580309,0.0336498212,67.83,0.0640606771,Folk
1196,0.6699166375,0.4225057127,0.4376794142,0.9230371963,0.1119775072,0.0701027615,142.699,0.1338751463,Folk
1197,0.9915125141,0.4971504894,0.0548609959,0.9580220986,0.1048107813,0.0334273993,60.309,0.2572970663,Folk
1270,0.9173272918,0.3082252501,0.8697368802,0.9233923878,0.2561366735,0.0384554521,75.59,0.2622438515,Rock
1417,0.3302514701,0.3984823841,0.6587899561,0.8817097951,0.0970102556,0.0424984406,124.018,0.3082392274,Rock
1482,0.348607252,0.7591561302,0.1767993915,0.931498558,0.0944225127,0.2300116964,97.539,0.5135679149,Electronic
1544,0.9947253812,0.0556561526,0.0013082887,0.9556414648,0.0958626042,0.0647154618,198.708,0.0288540313,Folk
1642,0.2559826289,0.5874667165,0.8318449674,0.3753521676,0.1962471262,0.0537993087,97.666,0.899084661,Pop
1644,0.0333130099,0.3851337744,0.8541683591,2.885e-07,0.0955361335,0.0392694887,135.668,0.6742661964,Pop
1649,0.083582515,0.3163704131,0.9593131578,0.9427657055,0.2262813754,0.0525078019,241.259,0.5703118207,Pop
1661,0.6718321398,0.1577093409,0.9887654359,0.8725297921,0.2256527477,0.120001899,155.475,0.0737012357,Pop
1663,0.5728566874,0.3303012013,0.698041335,0.970438749,0.0926727049,0.0442755887,160.064,0.2325704179,Pop
1666,0.7376420949,0.4414897598,0.5476449497,0.8838743234,0.0918357026,0.0339643962,142.273,0.4479410207,Pop
1680,0.9874454052,0.4505183227,0.2507261544,0.9378934831,0.3433162077,0.0549083016,110.792,0.6716768821,International
1681,0.9287891587,0.488449635,0.2928064883,0.0082155118,0.1013906606,0.0330751051,114.03,0.6453411754,International
1682,0.9915719257,0.622491399,0.333366605,0.3500093053,0.0753415329,0.0380810286,99.97,0.7451484158,International
1683,0.9698391002,0.3994860146,0.1882254583,0.0007516957,0.1009903215,0.0361041258,100.698,0.6568497756,International
1684,0.9789810623,0.4810810355,0.3337445203,0.1873255444,0.1146205821,0.2183995465,71.576,0.8147369872,International
1685,0.9875469651,0.5308485466,0.1571080794,0.1625576832,0.1062624982,0.0555731507,120.159,0.3308652347,International
1686,0.8001763834,0.5141711453,0.3127069214,0.8524636294,0.0374482694,0.1021234951,70.543,0.27878494,International
1687,0.8903125794,0.4281974864,0.1527934713,0.0050953248,0.1040581297,0.0374698281,151.912,0.543866509,International
1688,0.9832152096,0.4160671687,0.3509597251,0.4417260447,0.1262052659,0.0459818658,171.331,0.9442233208,International
1689,0.9691608115,0.4797146323,0.3241311822,0.8905312382,0.1259826271,0.0580899781,103.954,0.6522979625,International
1701,0.9926865883,0.2486188741,0.2561925707,0.8238542856,0.090126849,0.0266085019,93.344,0.0365086844,Folk
1702,0.9688298257,0.5659659296,0.5736909858,0.9310911038,0.1312390586,0.0298470467,127.874,0.2351038656,Folk
1703,0.9211518439,0.3730424979,0.2203914086,0.9263626322,0.1492777373,0.0334585971,117.597,0.0388242673,Folk
1704,0.991954118,0.2970348005,0.2692308585,0.7782337908,0.091985367,0.0278286862,141.871,0.1998721472,Folk
1706,0.9950898383,0.4072063405,0.9771725654,0.9654103695,0.2760053303,0.080300215,119.074,0.487058741,Rock
1720,0.5402475271,0.1986868226,0.4246546932,0.7161799731,0.1308577472,0.0491453575,174.342,0.0979531726,Rock
1883,0.8105361291,0.3565339014,0.9419612564,0.9623092733,0.1422250589,0.0346950931,170.025,0.9225453606,Rock
1891,0.9465863835,0.1859294916,0.5543436632,0.9725575803,0.1118643792,0.0385655715,157.133,0.2122493335,Rock
1893,0.3926838696,0.7285435459,0.2207963618,0.9248149695,0.0720788954,0.0499402497,109.759,0.7827644713,Folk
1924,0.0003141209,0.1733772476,0.8573469486,0.850661837,0.1652111814,0.0503754065,189.139,0.287230849,Folk
1925,0.7757731596,0.4763814292,0.4099578877,0.8381337604,0.1156932671,0.0297742815,184.058,0.4537371328,Folk
2097,0.9234769997,0.3530076718,0.356326909,0.9722701161,0.1104233947,0.0453127328,120.887,0.1330865227,Folk
3263,0.9663851814,0.4556339021,0.0032382405,0.878889123,0.1115722259,0.0576190054,103.86,0.073833897,Folk
3264,0.8904816132,0.4669434522,0.010606141,0.8356770502,0.1115640739,0.0499909402,60.109,0.0358285913,Folk
3265,0.9473671137,0.4124128932,0.0056461135,0.6178911558,0.1115680163,0.0446709149,105.136,0.0348958724,Folk
3266,0.9755329694,0.5112845147,0.0076837273,0.0001396762,0.1112785552,0.0465937853,70.125,0.0380533888,Folk
3270,0.9951393995,0.4900795346,0.1421763642,0.8292220484,0.1111910695,0.0456854722,118.87,0.2515269246,Folk
3271,0.988143649,0.5531185106,0.0369685228,0.4908951227,0.1116284446,0.0419640455,124.476,0.3514078363,Folk
3272,0.9933723678,0.4752829216,0.0642428245,0.7156848823,0.0945233547,0.0640034876,141.624,0.2821912323,Folk
3273,0.7455159764,0.4282098478,0.0594251351,0.843192232,0.1130259582,0.033325178,101.739,0.0974075105,Folk
3274,0.9505290938,0.1964395452,0.0395331197,0.9186590376,0.1084324766,0.0423729199,119.83,0.036380341,Folk
3492,0.9452718195,0.337005934,0.1350242343,0.2126016266,0.1141882178,0.0328044696,153.98,0.1704210227,Rock
3573,0.4342549743,0.4607322215,0.8627467642,0.9550246018,0.5351868351,0.1337819872,179.986,0.2966375067,Electronic
3598,0.9166071478,0.5094721681,0.1153566662,0.375706831,0.1130899365,0.0406868985,121.263,0.2515506307,Folk
3624,0.8592553288,0.3253242622,0.5858994522,0.8637454503,0.0501827353,0.0354142742,165.99,0.5425196594,Rock
3707,0.8932009956,0.3618870506,0.1866964712,0.9078538066,0.1029311993,0.0290642486,76.728,0.3192930524,Folk
3708,0.8103741093,0.5298376744,0.1946418456,0.8875682722,0.1103281098,0.0337871539,72.315,0.1608539071,Folk
3761,0.7891043816,0.2802859794,0.3467914204,0.9331963683,0.2005968591,0.0848778772,117.851,0.0357635045,Rock
3762,0.1940246494,0.3495789181,0.4739023944,0.9458360969,0.3670095491,0.0516428891,93.394,0.0626233833,Rock
3763,9.0935e-06,0.1442757763,0.8078862783,0.7775408417,0.1084145484,0.044975544,162.718,0.2575120183,Rock
3765,0.4083867117,0.051307487,0.3310534519,0.9544177341,0.2470881522,0.0553456557,242.58,0.0391091875,Rock
3766,0.2301191865,0.3591129185,0.5930512105,0.9417916382,0.262578313,0.0552795779,83.684,0.1774231767,Rock
3840,0.603290672,0.3649672887,0.9038442068,0.4722594365,0.7365000158,0.1075367048,157.546,0.4412457624,Rock
3880,0.9946315646,0.3954319419,0.1661714125,0.8991725114,0.1098220304,0.050243451,83.383,0.1462226274,Folk
3904,0.9124694707,0.3934034454,0.2853514213,0.874023745,0.11138245,0.0359210144,160.832,0.8590353099,Folk
3905,0.901332897,0.2582020843,0.2117355174,0.8813343775,0.1019387549,0.0367161603,165.729,0.1955853171,Folk
3906,0.8992162015,0.3478905123,0.2386904982,0.8372474661,0.129078768,0.0380985745,160.089,0.9239147787,Folk
3908,0.9278991789,0.1970514046,0.243620029,0.9254662113,0.109806763,0.0363410393,173.268,0.1927716958,Folk
3909,0.8317403105,0.3056999081,0.2879941611,0.9149913498,0.1118385713,0.0294082698,162.132,0.3855159276,Folk
3910,0.9013526361,0.3229073004,0.2613791619,0.8746949402,0.1101003149,0.0306070361,98.685,0.2883329658,Folk
3911,0.8924863364,0.3180925966,0.2991328609,0.8865969389,0.1409633827,0.0303829253,94.375,0.7781636544,Folk
3912,0.8789405481,0.3533910191,0.3413498769,0.9475925062,0.1081536971,0.0309005743,99.898,0.3688166261,Folk
3913,0.8703061018,0.2054633768,0.2618200766,0.8933933053,0.1353022601,0.0396282571,170.307,0.3404467051,Folk
3920,0.9937473866,0.6193260539,0.2003210419,0.9580116787,0.1155699624,0.0446459165,107.063,0.203433506,Folk
3921,0.99258386,0.5402921256,0.0896189627,0.2177821867,0.0970001274,0.1075150757,94.342,0.7009950225,Folk
4013,0.9297281674,0.2571043178,0.0061646477,0.712865777,0.1022654124,0.0421120813,72.979,0.0363482543,Folk
4017,0.9873854309,0.268289291,0.0081024377,0.0007974063,0.3377434051,0.0420588983,108.399,0.1364671005,Folk
4066,0.9840158632,0.3480274864,0.1052312465,0.9353805414,0.1125330695,0.0417211242,77.511,0.4900084429,Folk
4067,0.9861277927,0.3068828061,0.0660307321,0.9165349278,0.1117106124,0.053866545,84.081,0.6983707776,Folk
4068,0.9785409139,0.323831297,0.070884638,0.9225107028,0.1115168351,0.0460962087,79.518,0.701227868,Folk
4069,0.9390264269,0.36766421,0.1402694767,0.931815334,0.1031307984,0.04391176,174.935,0.1671569638,Folk
4108,0.9680470427,0.2195702453,0.4574520564,0.2472478512,0.2476654347,0.0791778767,164.333,0.2299973439,Rock
4450,0.9764447935,0.5108898615,0.1469079863,0.9307494529,0.108708328,0.0782746,70.877,0.1679162578,Folk
4519,0.5146310626,0.3903600494,0.509240895,0.9534925323,0.3717028749,0.0690599152,93.704,0.3202630075,Electronic
4520,0.5837493532,0.4733391002,0.4413672903,0.7481173173,0.1759724994,0.0328699661,98.684,0.4234975392,Electronic
4521,0.5546066439,0.7183421033,0.4731691957,0.9182439469,0.2186664915,0.0437372743,129.3,0.7400531066,Electronic
4522,0.9243880861,0.3934985041,0.6043295499,0.9068075024,0.3603763804,0.0884604261,100.811,0.3897552609,Electronic
4682,0.2799768813,0.4156203612,0.7701436785,0.8970278394,0.3617182934,0.1104803627,173.992,0.2134203447,Hip-Hop
4684,0.2209234723,0.3454192492,0.9195109633,0.9097449927,0.3888200683,0.158557262,165.989,0.0631874473,Hip-Hop
4685,0.2124572251,0.3831137993,0.6052403353,0.9049934736,0.2199077279,0.0536860377,164.045,0.0502576825,Hip-Hop
4688,0.2815423401,0.4937486272,0.595018309,0.9328696602,0.0922660241,0.0631818089,162.02,0.5197823269,Hip-Hop
4777,0.8913950993,0.3262638897,0.3876330759,0.7482437121,0.6862384689,0.0401804311,133.04,0.4739525126,Rock
4778,0.9595281866,0.3586120465,0.3900280128,0.9443990512,0.1300705208,0.0383916278,128.163,0.5452714978,Rock
4779,0.8974272507,0.4973017783,0.5037427343,0.6452710304,0.1889959239,0.0413309501,111.962,0.6181105405,Rock
4780,0.7943125362,0.459219418,0.6640574323,0.9201783632,0.6209874458,0.0441804625,87.796,0.6302882931,Rock
4781,0.9740430899,0.5539476861,0.5721138024,0.8935432144,0.1288180173,0.0321770874,137.635,0.7276481606,Rock
4782,0.6362804191,0.628878776,0.6210083673,0.5776471249,0.8827288296,0.0419888065,126.037,0.8524570414,Rock
4784,0.8984841446,0.4541545645,0.7902584279,0.8562603406,0.3181121522,0.0337097098,144.507,0.7812473837,Rock
4785,0.9459151171,0.3739597168,0.582579511,0.6470228661,0.4738699957,0.0459424847,114.474,0.6754777285,Rock
4786,0.7835748352,0.4607619108,0.6893586262,0.7911182053,0.1385065266,0.0281944467,83.774,0.822126578,Rock
4787,0.9080808937,0.2520310043,0.7047715291,0.8240939331,0.6397844148,0.0488577182,167.849,0.5906986231,Rock
4788,0.9062571016,0.5315946475,0.5983611581,0.728995728,0.7413581947,0.0318821638,125.533,0.5969143572,Rock
4799,0.6300827288,0.369359144,0.1840616124,0.956120811,0.5773044212,0.0334750702,140.166,0.1889492177,Rock
4835,0.8419993723,0.254873785,0.9512006849,0.7678896974,0.187045906,0.1512483802,119.812,0.0916571379,Rock
4836,0.7498163605,0.26962204,0.9776780392,0.3719879359,0.2011815038,0.05581283,117.077,0.4461224203,Rock
4838,0.9042259677,0.2835055368,0.968146045,0.8806481927,0.1250464572,0.100346408,120.685,0.1341789386,Rock
5156,0.9154083931,0.4994812752,0.0681443441,0.8800028096,0.1109257617,0.0442511533,46.002,0.2700349502,Folk
5157,0.8226780972,0.508352281,0.0616224507,0.8736364329,0.1316383578,0.049300726,129.484,0.2928032088,Folk
5158,0.8472949303,0.3902433998,0.0630620808,0.8831694394,0.111311193,0.037004032,80.691,0.361073517,Folk
5159,0.9366041189,0.4171661421,0.0768375853,0.9076828433,0.1046773783,0.0367338693,97.655,0.3075334601,Folk
5169,0.946927472,0.3933448588,0.084939654,0.9232468292,0.1223383815,0.0365498014,94.584,0.1634196829,Folk
5170,0.9387836374,0.3904861667,0.0504416263,0.9389211584,0.1191752573,0.0358404666,95.749,0.0588164438,Folk
5171,0.8733157382,0.4776171862,0.1710846317,0.86624367,0.1032152752,0.0508652483,105.656,0.2641673119,Folk
5191,0.7946017048,0.4532548798,0.4758557485,0.9634826057,0.1470674335,0.0302678013,87.483,0.7082671135,Pop
5264,0.4852057425,0.2178260095,0.8914350161,0.6488145752,0.1963166989,0.2807914336,110.293,0.0858182705,Hip-Hop
5268,0.4158928768,0.8562969194,0.4204394402,0.7895850791,0.074111346,0.4154415372,150.048,0.4000318397,Hip-Hop
5376,0.9919122456,0.3511195087,0.0892983341,0.9360298515,0.1224003384,0.0506373624,82.663,0.3479295973,Folk
5381,0.9495693325,0.4912172413,0.1167829958,0.9489554082,0.1115197847,0.0756027673,132.646,0.3501963579,Folk
6330,0.9938933036,0.5942505461,0.5404739624,0.9197030788,0.3078247871,0.0475553859,100.781,0.8857535048,International
6331,0.9948513995,0.3889528446,0.3722549681,0.9580372004,0.541370013,0.2041046376,200.033,0.9600765716,International
6332,0.9869959201,0.3733408447,0.7230153356,0.901695045,0.9509460036,0.0383224746,99.273,0.5443855777,International
6342,0.9840642961,0.5643297129,0.4748190135,0.8494795374,0.6987832005,0.0394145439,107.662,0.520078634,International
6354,0.9805898525,0.439750245,0.4724599541,0.8523111587,0.9030811665,0.0587786712,120.604,0.6375446183,International
6357,0.9936295726,0.487650683,0.9534747766,0.9427763955,0.7674841757,0.0310663199,122.158,0.6476195813,International
6358,0.9950494692,0.3805175656,0.575507933,0.944274714,0.7299484387,0.0763580264,204.264,0.9646997046,International
6360,0.9743251749,0.4617275928,0.3565101362,0.9026426143,0.2544025429,0.0681964678,125.514,0.5616841046,International
6363,0.8630878352,0.5217884493,0.4826093496,0.3818655652,0.8675765121,0.046201308,116.952,0.92987684,International
6366,0.9773855229,0.5277763801,0.442235605,0.6832404366,0.6435779408,0.0418581821,114.878,0.7594605252,International
6367,0.9891662565,0.4798044995,0.4134111493,0.8984824407,0.2773878909,0.4593422239,99.592,0.5930369499,International
6368,0.9942388678,0.5191864976,0.5409890694,0.9374701768,0.7554723079,0.0436318923,120.962,0.981595047,International
6370,0.9944438978,0.451248509,0.7470948342,0.9293315116,0.5771655288,0.0402131856,77.568,0.7634227164,International
6372,0.9497550213,0.5340176866,0.4222513858,0.9027548851,0.400178362,0.0620841984,128.943,0.8127154197,International
6373,0.9760004846,0.4559347283,0.2495012499,0.7552115712,0.7429233367,0.0512716886,154.973,0.4829911512,International
6376,0.9891424052,0.6635231053,0.7166558663,0.9306875287,0.6204314443,0.2040594901,122.433,0.9746937798,International
6379,0.9919347458,0.3560591433,0.3651422266,0.7970852064,0.5375961492,0.0616993114,194.7,0.7732846289,International
6380,0.6743527756,0.4260996487,0.7425791403,0.9403969667,0.8410042733,0.055212723,89.588,0.9680821881,International
6381,0.9944728511,0.2834983186,0.6720264762,0.9564483343,0.8243825709,0.0503948654,55.695,0.635565533,International
6383,0.9893781789,0.5798767977,0.4825918564,0.9316092107,0.6357311626,0.0371266236,87.81,0.8604503653,International
6385,0.7583583075,0.5053471693,0.5439832,0.7826870027,0.8508758915,0.0435925038,127.063,0.9451489753,International
6387,0.992306161,0.3130498882,0.7768833897,0.933500393,0.8227845843,0.0910977896,169.564,0.5694691806,International
6389,0.9424325424,0.5607709945,0.4591299116,0.0090756935,0.7786453889,0.1284266563,118.159,0.8384104393,International
6390,0.993397693,0.3828426433,0.5646818131,0.9296315046,0.8819145559,0.0856295028,208.921,0.9619332295,International
6393,0.950920247,0.5083155227,0.9225539467,0.7951036955,0.9605194782,0.1532995986,137.06,0.2208457849,International
6406,0.9521263681,0.2483858817,0.0900647964,0.9644588527,0.1110981033,0.0379966965,83.959,0.1358732303,Folk
6407,0.9649649933,0.1523334111,0.0286660985,0.9198376082,0.1196915768,0.043780074,174.607,0.0420093167,Folk
6459,0.9897427415,0.473918027,0.441824699,0.301111358,0.1917708301,0.1248443603,106.747,0.4855686061,International
6461,0.9762509416,0.2201777071,0.2530424984,0.1830443842,0.1209887734,0.0317821544,164.076,0.3457580863,Folk
6463,0.9035223472,0.5214370825,0.3331048586,0.4445221195,0.1434441245,0.0310932316,84.769,0.1401283794,Folk
6467,0.9742651393,0.5099784023,0.0149764144,0.1785187328,0.1106296646,0.0307496866,73.934,0.1766639211,Folk
6469,0.9870761815,0.4384941379,0.3032102633,0.8645399041,0.1497743742,0.0707950893,185.719,0.8310125528,International
6517,0.5140092503,0.5543395875,0.0793176237,0.9131409903,0.1067239105,0.0397560449,106.707,0.5350775049,Rock
6519,0.7329562243,0.6488638039,0.1936855637,0.8323470513,0.0791953543,0.0440725859,105.207,0.6642223726,Rock
6603,0.9689930322,0.842626891,0.6395363065,0.0189836223,0.1441312211,0.2764287482,103.928,0.7474744085,Hip-Hop
6605,0.9488243944,0.8145396396,0.6835051801,0.0090506541,0.0986090052,0.3289385859,140.178,0.7619929472,Hip-Hop
6606,0.9136379749,0.6018706207,0.5724688069,0.8817221232,0.0997869185,0.03790696,69.186,0.114862562,Hip-Hop
6607,0.4674290356,0.7016914256,0.3050312959,0.3362340957,0.0998242564,0.0966309564,109.16,0.8608139135,Hip-Hop
6608,0.8286968625,0.6008829686,0.7786265237,0.2914325662,0.1921558226,0.5464125654,70.269,0.7269837212,Hip-Hop
6609,0.6873252305,0.5046296993,0.4142151797,0.003175071,0.0794343785,0.2316780352,172.24,0.819625594,Hip-Hop
6610,0.9356340307,0.5466952615,0.5597066642,0.0513674993,0.1168733734,0.3865607082,126.87,0.6661914238,Hip-Hop
6611,0.6637303113,0.5721092017,0.4437888865,0.7682025784,0.1161438296,0.081974581,85.982,0.4599500795,Hip-Hop
6762,0.9609139506,0.6015612915,0.2080478804,0.2741551274,0.314303029,0.028136702,82.166,0.3052674823,Folk
6779,0.9627115568,0.5700009112,0.0649673646,0.9484848237,0.1279019956,0.0359106623,65.261,0.1759599918,Folk
6782,0.9948722927,0.6567057112,0.0678613362,0.889123824,0.1164851704,0.0439923986,85.588,0.6969467268,Folk
6783,0.995591142,0.6442756858,0.1254755322,0.6633108313,0.1027576929,0.0360240403,105.614,0.7827270172,Folk
6788,0.8904591304,0.2436000372,0.9457193357,0.6866998894,0.1111555628,0.1063916671,119.258,0.0624763798,Rock
6802,0.9767477915,0.6270073832,0.3643004972,0.0251438583,0.102968731,0.3679223331,112.548,0.4834776755,International
6803,0.6946463013,0.3973627612,0.2951305567,0.8829103024,0.3597793524,0.033617023,159.928,0.8118769817,International
7011,0.4638174149,0.2173839169,0.2771852067,0.9175237558,0.15683991,0.0375064115,58.945,0.2061910169,Electronic
7481,0.8005833127,0.3970755785,0.9238669896,0.0054158053,0.1040368857,0.5045757975,80.074,0.4344889958,Hip-Hop
7482,0.2769678639,0.7791431666,0.67153867,0.0656576898,0.1280894724,0.4517091096,96.989,0.4651394178,Hip-Hop
7487,0.4060829472,0.6000799578,0.6899029648,0.0004467152,0.4222275835,0.1805731016,87.88,0.5905143488,Hip-Hop
7488,0.658155257,0.6907177468,0.7588296026,2.155e-07,0.607094321,0.2913393226,96.022,0.6698470452,Hip-Hop
7492,0.3883600396,0.8145812963,0.8027638302,1.72096e-05,0.1747303471,0.3184338293,92.967,0.6458740192,Hip-Hop
7495,0.8222141477,0.3594758285,0.7923692565,0.3561703435,0.3139750271,0.1264879104,157.14,0.5974227527,Rock
7526,0.7020798369,0.2765738867,0.4357480538,0.0002408769,0.1066935831,0.0420063015,165.208,0.3501167137,Pop
7527,0.5688697406,0.6029751487,0.279904287,0.7887912769,0.1078047239,0.0264316764,161.901,0.4310708205,Pop
7528,0.0280512919,0.5672369808,0.3333057388,0.026182609,0.0867237151,0.0343140587,170.001,0.1971475635,Pop
7529,0.0125568984,0.6916074299,0.3240024242,0.8708623846,0.1187154225,0.0423866808,109.983,0.1762306532,Pop
7872,0.8948266314,0.5635495033,0.5205238316,0.137179835,0.0616347181,0.0573697146,137.41,0.8499116543,Rock
8208,0.2889115944,0.2205253408,0.9168268266,0.8237952202,0.4129018755,0.0456031302,164.112,0.3177402063,Rock
8256,0.9846906955,0.5640806762,0.2862550105,2.087e-07,0.1493626921,0.4439091336,192.372,0.7087070917,Folk
8259,0.8977233683,0.6730560333,0.2462504659,1.927e-07,0.1138180871,0.5945465857,121.553,0.8513211301,Folk
8261,0.9704445507,0.5880398297,0.3980705055,0.0006092172,0.1034597906,0.4447262681,190.081,0.7641573964,Folk
9512,0.9008281242,0.3033630492,0.5054784794,0.934591644,0.5358882213,0.0458737724,175.316,0.6927418525,International
9553,0.7589878976,0.4674273897,0.5895778366,0.8854654999,0.0972521586,0.0373811291,86.429,0.1597822246,Rock
9887,0.9797983832,0.3275834636,0.1766176069,0.7865554119,0.6349957915,0.0399536222,122.596,0.3085933622,Folk
9888,0.8546450426,0.2881381507,0.1593810264,0.9632385495,0.6566633853,0.0446649341,88.535,0.0375650379,Folk
10381,0.9905076702,0.4106349271,0.5480016485,0.9520255767,0.1134202033,0.0442660412,123.05,0.2472969302,Folk
10382,0.987452077,0.2735549403,0.121284816,0.7091468836,0.2627341433,0.0319646552,74.336,0.2609534217,Folk
10383,0.9650542841,0.2250764571,0.3475270646,0.8855843637,0.170686104,0.0360284957,99.802,0.088626728,Folk
10384,0.9540224716,0.3268607695,0.5259957956,0.9204395398,0.1120789516,0.0342843791,83.481,0.2890644118,Folk
